concept_id,english,language,ours,verdict,suggested,confidence,note
600,man,Hungarian,ember,wrong_sense,férfi,med,"means human/person, not male"
600,man,Russian,человек,wrong_sense,мужчина,high,"means person/human, not male"
600,man,Indonesian,manusia,wrong_sense,laki-laki,high,"means human, not man"
600,man,Swahili,mtu,wrong_sense,mwanamume,med,"means person, not man"
600,man,Hindi,man,untranslated,आदमी,high,English word in Latin script
602,child,Hindi,चाइल्ड,untranslated,बच्चा,high,transliteration of English child
608,husband,Hindi,husband,untranslated,पति,high,English word in Latin script
611,parent,Greek,μητρική εταιρεία,wrong_sense,γονέας,high,means parent company
611,parent,Russian,родительский,wrong_pos,родитель,high,adjective parental not noun
611,parent,Korean,부모의,wrong_pos,부모,med,genitive parent's not noun
613,baby,Thai,ที่รัก,wrong_sense,ทารก,high,means darling/sweetheart
613,baby,Arabic,طفل,wrong_sense,رضيع,med,means child not infant
618,granddaughter,Hungarian,unokája,likely_wrong,unoka,low,generic grandchild not granddaughter
619,sister,Welsh,chwedion,garbage,chwaer,med,not a real word
619,sister,Hindi,सिस्टर,untranslated,बहन,high,transliteration of English sister
620,brother,Hindi,bhai,untranslated,भाई,high,romanized in Devanagari column
625,siblings,Welsh,brodyr amen,garbage,brodyr a chwiorydd,med,contains stray word amen
626,son-in-law,Hebrew,בן חורג,wrong_sense,חתן,high,means stepson
626,son-in-law,Arabic,ابنه قانونياً,phrase,صهر,med,phrase his son legally
626,son-in-law,Swahili,mtoto wa kambo,wrong_sense,mkwe,med,means stepchild
627,daughter-in-law,Hungarian,sógornő,wrong_sense,meny,med,means sister-in-law
627,daughter-in-law,Hebrew,בת חורגת,wrong_sense,כלה,high,means stepdaughter
627,daughter-in-law,Welsh,nghyfraith,likely_wrong,merch-yng-nghyfraith,med,fragment in-law only
628,brother-in-law,Finnish,veli,wrong_sense,lanko,med,means brother
628,brother-in-law,Korean,며느리,wrong_sense,매형,high,means daughter-in-law
630,father-in-law,Hebrew,חמות,wrong_sense,חם,high,means mother-in-law
630,father-in-law,Arabic,ووالد بالتبنى,wrong_sense,حمو,med,means adoptive father
631,mother-in-law,Thai,แม่บุญธรรม,wrong_sense,แม่ยาย,med,means foster/adoptive mother
632,parents-in-law,Korean,며느리,wrong_sense,사돈,high,means daughter-in-law
632,parents-in-law,Russian,родители в законе,phrase,тесть и тёща,med,calque parents in law
632,parents-in-law,Vietnamese,cha mẹ trong pháp luật,phrase,cha mẹ vợ/chồng,med,calque parents in law
632,parents-in-law,Arabic,الآباء في القانون,phrase,الأحماء,med,calque parents in law
635,stepdaughter,Arabic,ابنة الأب,wrong_sense,ابنة الزوج,med,means daughter of the father
635,stepdaughter,Hindi,सौतेली,phrase,सौतेली बेटी,med,adjective only missing noun
636,stepson,Japanese,義理の息子,wrong_sense,継子,med,means son-in-law
641,animal,Hindi,एनिमल,untranslated,जानवर,high,transliteration of English animal
642,pet,Swahili,pet,untranslated,mnyama kipenzi,med,English word untranslated
643,vet,Hungarian,veterán,wrong_sense,állatorvos,high,means veteran
643,vet,Hindi,जाँचना,wrong_pos,पशु चिकित्सक,high,means to examine (verb)
643,vet,Swahili,vet,untranslated,daktari wa wanyama,med,English word untranslated
644,zoo,Welsh,saw,garbage,sw,med,not a real word
649,pig,Hungarian,malac,wrong_sense,disznó,med,means piglet
650,mouse,Indonesian,mouse,untranslated,tikus,high,English word untranslated
653,tiger,Hungarian,tiger,untranslated,tigris,high,English word untranslated
