concept_id,english,language,ours,verdict,suggested,confidence,note
1650,cleaner,Italian,più pulito,wrong_pos,addetto alle pulizie,high,comparative adjective more-clean
1650,cleaner,Vietnamese,sạch hơn,wrong_pos,,med,comparative adjective cleaner
1650,cleaner,Korean,청소기,wrong_sense,청소부,high,means vacuum cleaner
1650,cleaner,Russian,очиститель,wrong_sense,уборщик,high,means purifier/cleaning agent
1650,cleaner,Japanese,クリーナー,wrong_sense,清掃員,med,means cleaning device
1650,cleaner,Thai,เครื่องทำความสะอาด,wrong_sense,พนักงานทำความสะอาด,med,means cleaning machine
1650,cleaner,Swahili,safi,wrong_sense,msafishaji,med,means clean (adjective)
1650,cleaner,Arabic,منظف,wrong_sense,عامل نظافة,med,means detergent
1651,gardener,Swahili,bustani,wrong_sense,mtunza bustani,med,means garden not gardener
1652,fisherman,Hungarian,horgász,wrong_sense,halász,med,means recreational angler
1654,firefighter,Hindi,अग्निशमन,wrong_pos,दमकलकर्मी,med,means fire-extinguishing act not person
1657,stewardess,Greek,τροφοδότης,wrong_sense,αεροσυνοδός,high,means caterer/supplier
1657,stewardess,Thai,พนักงานเสิร์ฟ,wrong_sense,แอร์โฮสเตส,med,means waiter/server
1657,stewardess,Hindi,भंडारिन,wrong_sense,परिचारिका,med,means female storekeeper
1657,stewardess,Swahili,mwangalizi,wrong_sense,,low,means supervisor/caretaker
1659,cook,Hungarian,főzés,wrong_pos,szakács,high,gerund cooking
1659,cook,Russian,готовить пищу,phrase,повар,high,verb phrase to cook food
1659,cook,Italian,cucinare,wrong_pos,cuoco,high,infinitive to cook
1659,cook,Korean,요리하다,wrong_pos,요리사,high,verb to cook
1659,cook,Thai,ทำอาหาร,wrong_pos,พ่อครัว,med,verb to cook
1659,cook,Indonesian,memasak,wrong_pos,juru masak,med,verb to cook
1659,cook,Turkish,pişirmek,wrong_pos,aşçı,high,infinitive to cook
1659,cook,Arabic,يطبخ,wrong_pos,طباخ,high,verb he-cooks
1659,cook,Hebrew,לְבַשֵׁל,wrong_pos,טבח,high,infinitive to cook
1659,cook,Swahili,kupika,wrong_pos,mpishi,med,verb to cook
1659,cook,Japanese,料理,wrong_sense,料理人,high,means cooking/cuisine not person
1661,tailor,Finnish,räätälöidä,wrong_pos,räätäli,med,verb to tailor
1661,tailor,Hebrew,לְהַתְאִים,wrong_pos,חייט,high,verb to fit/adjust
1661,tailor,Swahili,tailor,untranslated,mshonaji,med,English left as-is
1662,cashier,Russian,касса,wrong_sense,кассир,high,means cash register
1662,cashier,Hungarian,pénztár,wrong_sense,pénztáros,med,means cash desk/till
1662,cashier,Japanese,レジ,wrong_sense,レジ係,high,means cash register
1662,cashier,Swahili,cashier,untranslated,keshia,low,English left as-is
