concept_id,english,language,ours,verdict,suggested,confidence,note
1050,rain,Italian,piovere,wrong_pos,pioggia,high,verb "to rain" for a noun
1050,rain,Arabic,تمطر,wrong_pos,مطر,high,conjugated "it rains" for a noun
1052,rainbow,Hindi,रेनबो,untranslated,इंद्रधनुष,high,English "rainbow" transliterated
1054,lake,Welsh,llynedd,wrong_sense,llyn,low,llynedd means "last year"
1056,beach,Hindi,बीच,wrong_sense,समुद्र तट,med,बीच means "middle"; English transliteration
1059,salt,Hungarian,sós,wrong_pos,só,med,sós = "salty" adjective
1060,stone,Hungarian,stone,untranslated,kő,med,English left as-is
1060,stone,Japanese,結石,wrong_sense,石,high,結石 = medical calculus
1060,stone,Korean,결석,wrong_sense,돌,med,결석 = gallstone/kidney stone
1060,stone,Hindi,स्टोन,untranslated,पत्थर,high,English "stone" transliterated
1063,earth,Japanese,地球,wrong_sense,土,high,= planet Earth; anchor is soil
1063,earth,Korean,지구,wrong_sense,흙,med,= planet Earth; anchor is soil
1063,earth,Turkish,dünya,wrong_sense,toprak,high,dünya = world; anchor is soil
1063,earth,Hebrew,כדור הארץ,wrong_sense,אדמה,high,= planet Earth; anchor is soil
1063,earth,Vietnamese,trái đất,wrong_sense,đất,med,= planet Earth; anchor is soil
1063,earth,Swahili,dunia,wrong_sense,udongo,med,dunia = world; anchor is soil
1064,cloud,Hungarian,cloud,untranslated,felhő,med,English left as-is
1064,cloud,Thai,คลาวด์,untranslated,เมฆ,med,English "cloud" transliterated
1065,lightning,Spanish,iluminación,wrong_sense,relámpago,high,= illumination/lighting
1065,lightning,Vietnamese,lightning,untranslated,tia chớp,high,English left as-is
1066,thunder,Japanese,サンダー,untranslated,雷,high,English "thunder" in katakana
1066,thunder,Hindi,थंडर,untranslated,गड़गड़ाहट,high,English "thunder" transliterated
1067,storm,Arabic,اقتحام,wrong_sense,عاصفة,high,= storming/assault
1071,snow,Hungarian,havazás,likely_wrong,hó,med,= snowfall event not snow
1072,ice,Hungarian,ice,untranslated,jég,med,English left as-is
1072,ice,Finnish,jäätyä,wrong_pos,jää,high,= "to freeze" verb
1073,frost,Thai,น้ำแข็ง,wrong_sense,น้ำค้างแข็ง,med,= ice not frost
1074,hail,Hungarian,éljen,wrong_sense,jégeső,high,éljen = "hurray/long live"
1074,hail,Hindi,जयकार करना,phrase,ओले,high,= "to cheer/acclaim" verb phrase
1075,smoke,Russian,дымка,wrong_sense,дым,high,дымка = haze/mist
1076,fire,Finnish,antaa potkut,phrase,tuli,high,idiom "to fire from a job"
1076,fire,Russian,пожар,wrong_sense,огонь,med,= a blaze; anchor is the element
1076,fire,Turkish,yangın,wrong_sense,ateş,med,= a blaze; anchor is the element
1077,ash,Greek,φλαμουριά,garbage,στάχτη,high,= linden tree
1077,ash,Hungarian,ash,untranslated,hamu,med,English left as-is
1080,swamp,Finnish,uroksella,garbage,suo,high,= "on the male animal"
1080,swamp,Hebrew,להציף,wrong_pos,ביצה,high,= "to flood" verb
1080,swamp,Swahili,swamp,untranslated,bwawa,med,English left as-is
1080,swamp,Hindi,मग्न,wrong_sense,दलदल,high,= immersed/absorbed
1080,swamp,Thai,บึงหนองทำให้ท่วม,phrase,หนองบึง,med,garbled multi-word string
1081,land,Italian,sbarcare,wrong_pos,terra,high,= "to disembark" verb
1081,land,French,atterrir,wrong_sense,terre,low,= "to land a plane" verb
1082,field,Japanese,分野,wrong_sense,野原,high,= field of study/activity
1082,field,Indonesian,bidang,wrong_sense,ladang,med,= field/area of expertise
1082,field,Korean,필드,untranslated,들판,med,English "field" transliterated
1082,field,Hindi,फ़ील्ड,untranslated,खेत,med,English "field" transliterated
1083,mine,Hungarian,enyém,wrong_sense,bánya,high,= "mine" possessive
