concept_id,english,language,ours,verdict,suggested,confidence,note
7,wait,Spanish,aspettare,wrong_sense,esperar,high,Italian word in Spanish cell
7,wait,Italian,esperar,wrong_sense,aspettare,high,Spanish word in Italian cell
7,wait,Arabic,نظر,wrong_sense,انتظر,med,means looked/watched not wait
8,stay,Spanish,stare,wrong_sense,quedarse,high,Italian/Latin word in Spanish cell
8,stay,Italian,quedarse,wrong_sense,restare,high,Spanish word in Italian cell
5,enter,Hindi,डालें,wrong_sense,प्रवेश करना,med,means put/insert
6,exit,Hungarian,kijárat,wrong_pos,kilépni,high,noun the doorway not verb
6,exit,German,beenden,wrong_sense,hinausgehen,med,means terminate/quit a program
6,exit,Welsh,allanfa,wrong_pos,,med,noun exit not verb
9,leave,Thai,ทิ้ง,wrong_sense,จากไป,low,means discard/abandon
12,consider,Arabic,عبر,wrong_sense,اعتبر,med,means cross/express
14,choose,Hungarian,választás,wrong_pos,választani,med,noun choice
18,touch,Hungarian,érintés,wrong_pos,érinteni,med,noun a touch
19,smell,Hungarian,illat,wrong_pos,szagolni,med,noun scent
19,smell,Russian,пахнуть,wrong_sense,нюхать,med,means emit odor not perceive
20,taste,Hungarian,íze,wrong_pos,megkóstolni,med,noun its taste
25,repeat,Hungarian,ismétlés,wrong_pos,ismételni,med,noun repetition
25,repeat,Korean,반복하려면,phrase,반복하다,med,means in order to repeat
25,repeat,Turkish,tekrarlamak için,phrase,tekrarlamak,med,means in order to repeat
27,continue,Hungarian,folytatás,wrong_pos,folytatni,med,noun continuation
27,continue,Greek,να συνεχίσει,phrase,συνεχίζω,med,subjunctive periphrasis
26,be used to,Korean,익숙해 져야합니다,phrase,익숙하다,med,full sentence must-become-accustomed
30,draw,Hungarian,döntetlen,wrong_sense,rajzolni,high,means a draw/tie in sport
30,draw,Korean,그리기 위해,phrase,그리다,med,means in order to draw
30,draw,Hindi,चित्रण,wrong_pos,चित्र बनाना,low,noun illustration
46,hit,Hindi,hit,untranslated,मारना,high,English left as-is
46,hit,Hungarian,találat,wrong_pos,ütni,med,noun a hit/score
47,kick,Hungarian,rúgás,wrong_pos,rúgni,med,noun a kick
48,rub,Hungarian,dörzsölés,wrong_pos,dörzsölni,med,noun rubbing
56,scratch,Hungarian,karcolás,wrong_pos,vakarni,med,noun a scratch
57,cut,Hungarian,vágás,wrong_pos,vágni,med,noun a cut
62,laugh,Hungarian,nevetés,wrong_pos,nevetni,med,noun laughter
63,smile,Hungarian,mosoly,wrong_pos,mosolyogni,med,noun a smile
63,smile,Greek,να χαμογελάσει,phrase,χαμογελάω,med,subjunctive periphrasis
63,smile,Korean,미소하는,wrong_pos,미소짓다,low,participle smiling
64,cry,Hindi,क्राई,untranslated,रोना,high,transliteration of English cry
64,cry,Hungarian,sírás,wrong_pos,sírni,med,noun crying
65,bite,Hungarian,harapás,wrong_pos,harapni,med,noun a bite
66,suck,Hungarian,szívás,wrong_pos,szívni,med,noun suction
67,swallow,Greek,να καταπιω,phrase,καταπίνω,med,subjunctive periphrasis
68,spit,Hungarian,nyárs,wrong_sense,köpni,high,means skewer/roasting spit
72,cough,Hungarian,köhögés,wrong_pos,köhögni,med,noun a cough
74,throw,Hindi,throw,untranslated,फेंकना,high,English left as-is
74,throw,Hungarian,dobás,wrong_pos,dobni,med,noun a throw
75,catch,Hungarian,fogás,wrong_pos,elkapni,med,noun catch/grip/dish
75,catch,Greek,να πιάσω,phrase,πιάνω,med,subjunctive periphrasis
75,catch,Korean,잡기 위해,phrase,잡다,med,means in order to catch
75,catch,Hindi,कैच,untranslated,पकड़ना,high,transliteration of English catch
77,tie,Hungarian,döntetlen,wrong_sense,megkötni,high,means a draw/tie in sport
77,tie,Hindi,टाई,untranslated,बाँधना,high,transliteration means necktie
79,count,Hungarian,gróf,wrong_sense,számolni,high,means count/earl nobleman
79,count,Hindi,गिनती,wrong_pos,गिनना,low,noun counting
80,wear,Hebrew,נשא,wrong_sense,ללבוש,med,means carry/bear
82,close,Hungarian,közeli,wrong_sense,bezárni,high,adjective nearby/close proximity
93,make,Hindi,मेक,untranslated,बनाना,high,transliteration of English make
122,add,Hindi,add,untranslated,जोड़ना,high,English left as-is
129,pass,Hindi,pass,untranslated,गुज़रना,high,English left as-is
